"label","run_id","fill","cost","concurrency","buy_sol","n_fired","n_closed","n_open","win_rate","total_pnl_sol","expectancy_sol","median_pnl_pct","mean_pnl_pct","p90_pnl_pct","worst_pnl_pct","profit_factor","median_hold_s","avg_hold_s","n_exit_metrics","n_exit_stop_loss","n_exit_dead","elapsed_s","since","until"
"S5 stub-family control (stop 15, no held cap)","f2a3d322-aedb-4928-9d8e-fc630f544b4d","first","pumpfun_impact","4","0.3","79","75","4","0.3067","-1.5949","-0.02126","-18.478","-7.088","23.550","-75.907","0.4350","10.0","23.33","35","40","0","10","2026-07-22T00:00:00Z","2026-07-28T00:00:00Z"
"S6 bank 50% @ +15, stub = pure time stop 300","661822b9-98df-416e-b004-9215ffac8f3b","first","pumpfun_impact","4","0.3","107","107","0","0.4019","-1.1499","-0.01075","-16.188","-3.582","24.612","-75.907","0.6892","10.0","21.84","52","55","0","10","2026-07-22T00:00:00Z","2026-07-28T00:00:00Z"
"S7 bank 50% @ +15 WORST fill","4d51c9af-ae7f-4b7a-8e65-1b5665c5b1b7","worst","pumpfun_impact","4","0.3","78","78","0","0.6154","0.2991","0.00383","4.660","1.278","28.509","-96.991","1.1323","57.0","50.46","78","0","0","10","2026-07-22T00:00:00Z","2026-07-28T00:00:00Z"
"S0 N1 control (no ladder)","76cc2f9b-a339-49d7-b2ad-673a795445db","first","pumpfun_impact","4","0.3","229","229","0","0.5284","0.5323","0.00232","1.574","0.775","29.894","-101.400","1.0713","33.0","42.04","229","0","0","20.2","2026-07-22T00:00:00Z","2026-08-09T00:00:00Z"
"S1 bank 50% @ +10","ea3f3a75-3a33-473f-8603-d7e518724b0a","first","pumpfun_impact","4","0.3","229","229","0","0.7249","-0.0313","-0.00014","5.578","-0.046","22.578","-101.400","0.9953","33.0","42.11","229","0","0","10","2026-07-22T00:00:00Z","2026-08-09T00:00:00Z"
"S2 bank 50% @ +15","d7d7797c-482f-41a5-907f-fc0837456e75","first","pumpfun_impact","4","0.3","229","229","0","0.5852","0.0078","0.00003","6.089","0.011","25.628","-101.400","1.0011","33.0","42.19","229","0","0","10","2026-07-22T00:00:00Z","2026-08-09T00:00:00Z"
"S3 bank 50% @ +25","4240f685-2e6e-4d80-8b6a-af3f309aad63","first","pumpfun_impact","4","0.3","229","229","0","0.5284","-0.3789","-0.00165","1.574","-0.552","29.593","-101.400","0.9488","33.0","42.04","229","0","0","10","2026-07-22T00:00:00Z","2026-08-09T00:00:00Z"
"S4 bank 30% @ +15","00660d16-5a6c-4c3d-a052-bedd8e16aef7","first","pumpfun_impact","4","0.3","229","229","0","0.5852","0.2364","0.00103","4.283","0.344","27.549","-101.400","1.0327","33.0","42.19","229","0","0","10","2026-07-22T00:00:00Z","2026-08-09T00:00:00Z"
"S5 stub-family control (stop 15, no held cap)","a48c4623-a9d0-499b-820c-57ff653547d4","first","pumpfun_impact","4","0.3","79","75","4","0.3067","-1.5949","-0.02126","-18.478","-7.088","23.550","-75.907","0.4350","10.0","23.33","35","40","0","10","2026-07-22T00:00:00Z","2026-08-09T00:00:00Z"
"S6 bank 50% @ +15, stub = pure time stop 300","c6e6404c-de28-41bc-876e-785118795fe4","first","pumpfun_impact","4","0.3","274","274","0","0.4526","-2.2173","-0.00809","-1.570","-2.697","23.075","-101.400","0.7542","12.0","23.99","155","118","1","10","2026-07-22T00:00:00Z","2026-08-09T00:00:00Z"
